bin_left_angstrom,count
0.6975547075,1
0.7077355623,0
0.7179164171,0
0.7280972719,0
0.7382781267,0
0.7484589815,0
0.7586398363,0
0.7688206911,0
0.7790015459,0
0.7891824007,0
0.7993632555,0
0.8095441103,0
0.8197249651,0
0.8299058199,0
0.8400866747,0
0.8502675295,0
0.8604483843,0
0.8706292391,0
0.8808100939,0
0.8909909487,0
0.9011718035,0
0.9113526583,0
0.9215335131,0
0.9317143679,0
0.9418952227,1
0.9520760775,0
0.9622569323,0
0.9724377871,0
0.9826186419,0
0.9927994967,0
1.002980351,0
1.013161206,1
1.023342061,0
1.033522916,1
1.043703771,0
1.053884625,1
1.06406548,0
1.074246335,0
1.08442719,5
1.094608045,8
1.104788899,2
1.114969754,10
1.125150609,34
1.135331464,151
1.145512319,768
1.155693173,2689
1.165874028,5616
1.176054883,8403
1.186235738,29687
1.196416593,164521
1.206597447,512713
1.216778302,313754
1.226959157,59816
1.237140012,13908
1.247320867,8563
1.257501721,5611
1.267682576,3237
1.277863431,1824
1.288044286,1890
1.298225141,2919
1.308405995,5201
1.31858685,12030
1.328767705,37567
1.33894856,101935
1.349129415,186377
1.359310269,257009
1.369491124,222621
1.379671979,170158
1.389852834,196816
1.400033689,323785
1.410214543,689662
1.420395398,1028853
1.430576253,790563
1.440757108,503514
1.450937963,247803
1.461118817,124073
1.471299672,59557
1.481480527,28576
1.491661382,15571
1.501842237,9137
1.512023091,5441
1.522203946,3237
1.532384801,1882
1.542565656,1043
1.552746511,552
1.562927365,323
1.57310822,170
1.583289075,105
1.59346993,45
1.603650784,27
1.613831639,20
1.624012494,16
1.634193349,1
1.644374204,6
1.654555058,5
1.664735913,3
1.674916768,3
1.685097623,1
1.695278478,4
1.705459332,2
