bond_length_angstrom,bond_length_delta,gaussian_shielding_c_ppm,magnet_shielding_c_ppm,delta_c_ppm,gaussian_shielding_o_ppm,magnet_shielding_o_ppm,delta_o_ppm
0.7000000476837158,0.0,100.323,-98.84709167480469,-199.17009167480467,118.92,0.0,-118.92
0.7100000381469727,0.0,100.6646,-101.11131286621094,-201.77591286621094,119.3498,0.0,-119.3498
0.7200000286102295,0.0,100.7627,-106.29923248291016,-207.06193248291015,119.4879,0.0,-119.4879
0.7300000190734863,0.0,100.6302,-110.37581634521484,-211.00601634521485,119.3424,0.0,-119.3424
0.7400000095367432,0.0,100.2785,-105.22541809082031,-205.50391809082032,118.9203,0.0,-118.9203
0.75,0.0,99.7179,-82.99818420410156,-182.71608420410155,118.2274,0.0,-118.2274
0.7599999904632568,0.0,98.9574,-58.89897537231445,-157.85637537231446,117.2682,0.0,-117.2682
0.7699999809265137,0.0,98.0051,-41.90826416015625,-139.91336416015625,116.0464,0.0,-116.0464
0.7799999713897705,0.0,96.8686,-30.977083206176758,-127.84568320617676,114.5651,0.0,-114.5651
0.7900000214576721,0.0,95.5546,-24.81533432006836,-120.36993432006835,112.8267,0.0,-112.8267
0.800000011920929,0.0,94.0699,-20.98507308959961,-115.05497308959961,110.8334,0.0,-110.8334
0.8100000023841858,0.0,92.4205,-17.495792388916016,-109.91629238891602,108.5869,0.0,-108.5869
0.8199999928474426,0.0,90.6124,-13.717061042785645,-104.32946104278564,106.089,0.0,-106.089
0.8299999833106995,0.0,88.6517,-10.725614547729492,-99.3773145477295,103.3413,0.0,-103.3413
0.8400000333786011,0.0,86.5441,-9.816015243530273,-96.36011524353027,100.3454,0.0,-100.3454
0.8500000238418579,0.0,84.2955,-10.453042030334473,-94.74854203033448,97.103,0.0,-97.103
0.8600000143051147,0.0,81.9118,-11.056601524353027,-92.96840152435303,93.6158,0.0,-93.6158
0.8700000047683716,0.0,79.3986,-10.437362670898438,-89.83596267089844,89.8856,0.0,-89.8856
