solvent,intercept,stationary,pcm
chloroform,171.726919,-0.924228,-0.936801
tetrahydrofuran,171.052274,-0.918997,-1.069506
dichloromethane,171.507154,-0.921165,-1.115013
acetone,171.305850,-0.919608,-1.239500
acetonitrile,171.877492,-0.922626,-1.287661
dimethylsulfoxide,170.596065,-0.918672,-1.296497
trifluoroethanol,174.235231,-0.939011,-1.290071
methanol,172.423799,-0.927563,-1.288843
TIP4P,173.692750,-0.937848,-1.342659
benzene,171.965715,-0.927029,-0.593714
toluene,171.689276,-0.924983,-0.618407
chlorobenzene,171.073820,-0.921235,-0.997638
