solvent,intercept,stationary,pcm
chloroform,31.291983,-0.975682,-0.851715
tetrahydrofuran,31.319664,-0.980082,-0.781373
dichloromethane,31.374485,-0.979760,-0.806215
acetone,31.510823,-0.987188,-1.229850
acetonitrile,31.494061,-0.985628,-0.969617
dimethylsulfoxide,31.597261,-0.991031,-1.348009
trifluoroethanol,30.873172,-0.959885,-0.955808
methanol,31.253627,-0.976349,-1.246680
TIP4P,31.356622,-0.978710,-1.475907
benzene,31.984616,-1.005170,2.239317
toluene,31.714067,-0.996613,1.948607
chlorobenzene,31.677950,-0.993715,0.830908
